,original,paraphrase,our_paraphrase
572,"Zaradi pristanka ladje, ki je dolga skoraj 300 metrov, je dobesedno zaprt del reškega pristanišča, vanj ni mogoče priti ne z morske ne s kopenske strani.","Pristanek te skoraj 300 metrov dolge ladje je dobesedno zaprl del reškega pristanišča, tako da ne morje ne kopno nimata dostopa do njega.","Zaradi pristanka ladje, ki je dolga skoraj 300 metrov, je dobesedno zaprt del reškega pristanišč"
573,"Na ladji in na zabojniškem skladišču je kakšnih 400 vojakov in civilistov, ki skrbijo za logistične zadeve.","Na krovu ladje in v tovornem prostoru je kakih 400 vojakov in civilistov, ki se ukvarjajo z logističnimi zadevami.","Na ladji in zabojniku je približno 400 vojakov in civilistov, ki skrbijo za logistične zadeve."
574,"Takoj ko je ladja pristala, so začeli z nje raztovarjati 800 zabojnikov in tovornjakov z opremo.","Takoj ko je ladja pristala, so raztovorili 800 zabojnikov in tovornjakov z opremo.","Takoj ko je ladja pristala, so začeli raztovarjati 800 zabojnikov in tovornjakov z opremo"
575,Helikopterji so razstavljeni in zloženi po delih v zabojnike.,helikopterji so razstavljeni in zloženi košček za koščkom v zabojnike.,Helikopterji so razstavljeni in zloženi po delih v zabojnike.
576,"Ko jih na ladji sestavijo, odletijo na letališče na otoku Krku, od tam pa po poskusnih poletih proti Tuzli in Sarajevu.","Ko so zbrani na krovu, letijo na letališče na otoku Krku in od tam na poskusnih poletih v Tuzlo in Sarajevo.","Ko jih sestavijo na ladji, gredo na letališče na otoku Krku, od tam pa po"
577,Američani bodo v prihodnje tako vsake pol leta poskrbeli za zamenjavo svojih vojakov v Bosni in Hercegovini.,vsakih šest mesecev bodo Američani zamenjali svoje enote v Bosni in Hercegovini.,Američani bodo v prihodnosti poskrbeli za zamenjavo svojih vojakov v Bosni in Hercegovini.
578,Večina jih je iz prve konjeniške divizije.,Večina jih je iz prve konjeniške divizije.,Večina jih je iz prve konjeniške divizije.
579,"V Bosno in Hercegovino se vojaki pripeljejo naravnost iz Teksasa, oprema pa pride za njimi z ladjo do Reke, potem pa po železnici ali zraku tja, kamor je namenjena.","Vojaki se iz Teksasa vozijo naravnost v Bosno in Hercegovino, opremi pa sledi ladja do Reke in nato po železnici ali zraku do tja, kamor je namenjena.","V Bosno in Hercegovino se vojaki pripeljejo naravnost iz Teksasa, oprema pa pride z"
580,"Če se bodo v reškem pristanišču tokrat izkazali, bodo tudi v prihodnje lahko skrbeli za takšne prevoze.","Če jim bo tokrat v reškem pristanišču šlo dobro, bodo takšne prevoze lahko opravili tudi v prihodnje.","Če se bodo tokrat izkazali v reškem pristanišču, bodo tudi v prihodnje lahko poskrbeli za takšne"
581,"Zaradi vse večjega sodelovanja z mednarodnim RK je Slovenija spoznala, da je treba oblikovati medresorsko skupino, ki se bo ukvarjala z načeli mednarodnega humanitarnega prava, je pojasnil minister Frlec in dodal, da oblikovanje skupine že poteka.","Zaradi vse večjega sodelovanja z mednarodno RK je Slovenija ugotovila, da bi bilo potrebno oblikovati medresorsko skupino, ki bi se ukvarjala z načeli mednarodnega humanitarnega prava, je pojasnil minister Frlec in dodal, da je oblikovanje skupine že v teku.","Zaradi vse večje sodelovanja z mednarodnim RK je Slovenija spoznala, da je treba oblikovati medresorsko"
582,"Ob vseh teh globalnih problemih sogovornika nista mogla mimo enega najbolj perečih trenutnih vprašanj, in sicer Kosova.","Ob vseh teh globalnih problemov, sogovorniki niso mogli mimo enega od najbolj perečih aktualnih vprašanj, in sicer Kosovo.","Ob vseh teh globalnih problemih sogovornika nista mogla mimo enega najbolj perečih trenutnih vprašanj, in sicer Kosov"
583,"Sommeruga je izrazil veliko zaskrbljenost, kaj se bo zgodilo s približno 200.000 begunci in notranje razseljenimi osebami na Kosovu čez nekaj mesecev, ko bo prišla zima.","Sommeruga je izrazil veliko zaskrbljenost glede tega, kaj se bo zgodilo s približno 200.000 begunci in notranje razseljenimi osebami na Kosovu v nekaj mesecih, ko bo prišla zima.","Sommerug je izrazil veliko zaskrbljenost, kaj se bo zgodilo s približno 200.000 begunci in notranje"
584,"﻿Da so strokovnjaki odkrili, da prisiljen smeh slabo vpliva na imunski sistem, str. 16.","- da so strokovnjaki ugotovili, da je prisilni smeh slab za imunski sistem, str. 16.","Da so strokovnjaki odkrili, da prisiljen smeh slabo vpliva na imunski sistem, str. 16."
585,"Da zaradi britja dlake ne postanejo debelejše, ampak imamo le mi tak občutek, ker pri vrhu dlake niso več tanke, str. 62.","To britje ne naredi las debelejše, ampak samo mi imamo ta občutek, ker lasje niso več tanki na vrhu, str. 62.","Da zaradi britja dlake ne postanejo debelejše, ampak imamo le občutek, da pri vrhu dlake"
586,"Upam, da se vidimo!","Upam, da se vidimo.","upam, da se vidimo!"
587,"Če se kljub vsemu nisi odločila, da se udeležiš našega teka, ampak se raje pripravljaš na maraton, te bo zagotovo razveselila naslednja številka Cosmopolitana, ko bomo delu naklade priložili tekaške nogavičke.","Če ste se odločili, da ne boste sodelovali v našem teku, temveč se boste pripravili na maraton, vas bo zagotovo razveselila naslednja številka Cosmopolitana, ko bomo del teka dodali še tekaške nogavice.","Če se kljub vsemu nisi odločil, da se udeleži našega teka, ampak se raje pripravljaš"
588,"Če si naročnica ali si želiš zagotovitev, da boš nogavičke res našla na prodajnih mestih, jih lahko že vnaprej naročiš prek elektronske pošte ziva.sekelj@adriamedia.si.","Če ste naročnik ali se želite prepričati, da boste nogavice res našli na prodajnih mestih, jih lahko naročite vnaprej preko elektronske pošte ziva.sekelj @ adriamedia.si.","Če si naročnik ali si želite, da bi se nogavičke res našla na prodajnih mestih,"
589,Cosmopolitanov forum deluje naravnost terapevtsko.,Cosmopolitan Forum je izključno terapevtska.,Cosmopolitanov forum deluje naravnost terapevtsko.
590,"Tam se lahko znebiš svojih težav, ki jih bodo rešili drugi in ti poleg vsega ponudili še preproste rešitve.","Tam se lahko znebite svojih problemov, drugi jih bodo rešili in ponudili preproste rešitve na vrhu vsega drugega.","Tam se lahko znebite svojih težav, ki jih bodo rešili drugi in ti ponudili preproste rešitve."
591,"Masa22 sprašuje, ali imaš kakšne izkušnje s kozmetičarkami.","Masa22 sprašuje, če imate kakšne izkušnje z kozmetičarkami.","Masa22 sprašuje, ali imaš kakšne izkušnje s kozmetičarkami."
592,"“Ker imam problematično kožo na T predelu, mi je farmacevtka v lekarni bolj kot obisk dermatologa priporočila kozmetičarko, saj naj bi s kremami in tabletami še bolj škodovala koži.”","""Ker imam problematično kožo v T-območju, mi je farmacevt priporočil kozmetičarko namesto obiska pri dermatologu, saj naj bi kreme in tablete koži še bolj škodovale.""","""Ker imam problematično kožo na T predelu, mi je farmacevtka v lekarni bolj kot obisk de"
593,Poznaš kakšno?,Ali ste vedeli?,Poznaš kakšno?
594,PODPIS POD SLIKO: To je pravi avto za punce.,To je popoln avto za dekle.,PoDPIS pod sliko: To je pravi avto za punce.
595,Se pa Blake brez težav razgovori o drugih ljubezenskih temah.,Vendar Blake nima težav razpravljati o drugih ljubezenskih temah.,Blake se brez težav pogovori o drugih ljubezenskih temah.
596,"Priznava, da nima bogatih izkušenj z moškimi, saj se je do zdaj poljubljala le s tremi.","Priznava, da ima malo izkušenj z moškimi, saj je poljubila samo tri.","Priznava, da nima bogatih izkušenj z moškimi, saj se je do zdaj poljubljala le"
597,"Prepričana je, da si moraš fanta poiskati iz enega samega razloga – da bi izboljšala kakovost življenja in izpopolnila sebe kot osebo.","Verjame, da morate najti fanta samo iz enega razloga - da bi izboljšali kakovost življenja in se izpopolnili kot oseba.","Prepričana je, da si moraš fanta poiskati iz enega razloga - da bi izboljšal kakovost življenja in"
598,Kljub strogemu zgornjemu delu je Liv videti prav ljubka.,Liv je kljub ozkemu vrhu videti ljubka.,Kljub strogemu zgornjemu delu je Liv videti ljubka.
599,Črne žabe in smoking suknjič so odlična kombinacija.,Črne žabe in smoking so popolna kombinacija.,Črne žabe in smoking suknjič so odlična kombinacija.
600,"Začela sem delati za organizacijo, v kateri je bil zaposlen Miha.","Začel sem delati za organizacijo, v kateri je zaposlen Miha.","Začela sem delati za organizacijo, v kateri je bil zaposlen Miha."
601,"Takrat je bil dlje časa odsoten, o njem pa sem slišala veliko govoric, zato sem bila radovedna: 'Kdo je ta Miha?'.","V tistem času je bil dolgo časa odsoten in o njem sem slišala veliko govoric, zato me je zanimalo: 'Kdo je ta Miha?'","Takrat je bil odsoten, o njem pa sem slišal veliko govoric, zato sem bila radove"
602,"Ko sem ga spoznala, je v meni takoj vzbudil občudovanje.","Ko sem ga spoznala, sem ga takoj občudovala.","Ko sem ga spoznala, je takoj vzbudil občudovanje v meni."
603,"Imela sem občutek, da mora biti naklonjenost obojestranska, a zbližala sva se šele, ko sem jaz nehala delati za organizacijo, v kateri je bil zaposlen on.","čutila sem, da mora biti naklonjenost obojestranska, vendar sva se zbližala šele, ko sem nehala delati za organizacijo, za katero je delal.","Imela sem občutek, da mora biti naklonjenost obojestranska, vendar sva se zbližala šele, ko"
604,"Povabila sem ga na Roza Disco večer, na katerem sem vrtela v nedeljo, Miha se je odzval in mi prinesel veliko temno čokolado – mojo najljubšo.","povabil sem ga na Pink Disco večer, kjer sem igral v nedeljo, in Miha se je odzval in mi prinesel veliko temno čokolado - mojo najljubšo.","Povabila sem ga na Roza Disco večer, na katerem sem vrtela v nedeljo"
605,"Zjutraj sem mu napisala SMS-sporočilo o tem, kako sem bila vesela čokolade in njega.","Danes zjutraj sem mu napisala SMS o tem, kako srečna sem zaradi čokolade in njega.","Zjutraj sem mu napisala SMS-sporočilo o tem, kako sem bila vesela čokolade in njega."
606,"Takrat sem se zavedla, da je moj.”","Nato sem spoznala, da je moj. ""","Takrat sem se zavedel, da je moj. """
607,Kmalu sta se zaročila ... poročila – povejta to zgodbo!,Kmalu ste se zaročili... se poročili - povejte to zgodbo!,Kmalu sta se poročila - povej to zgodbo!
608,"N: “Njegov karakter je enkraten, zelo načelen in lojalen človek je.","N: ""Njegov značaj je edinstven, zelo načelen in zvest.","N: ""Njegov karakter je enkraten, zelo načelen in lojalen človek"
609,"V sebi ima ogromno sočutja in sprejema me popolnoma takšno, kot sem.","Ima toliko sočutja, in on me sprejema tako, kot sem.","V sebi ima veliko sočutja in sprejema me popolnoma takšno, kot sem."
610,"Izjemno je pozoren, ob njem se počutim kot kraljica, kar mu tudi tisočkrat povrnem.”","Je izredno pozoren, ob njem se počutim kot kraljica in jaz mu tisočkrat povrnem. ""","Izjemno je pozoren, ob njem se počutim kot kraljica, kar mu tudi tisočkrat povrnem"
611,"M: “Dober tip se ji zdim, pravi ulov ... pravi za njo.”","M: ""Izgledam kot dober fant, pravi ulov... pravi za njo.""","M: ""Dober tip se ji zdi, pravi ulov... pravi za njo."""
612,"M: “Odvisno od obdobja, vsak kraj in vsaka kultura imata svoje prednosti in slabosti, raj žal ne obstaja, a si ga v bistvu lahko narediš sam ...","M: ""Odvisno od obdobja, vsak kraj in vsaka kultura ima svoje prednosti in slabosti, na žalost, raj ne obstaja, v resnici pa lahko naredite sami...","M: ""Odvisno od obdobja, vsak kraj in vsaka kultura imata svoje prednosti in slabosti"
613,Želiva spoznati druge kulture.”,"Radi bi spoznali druge kulture. ""","Želiva spoznati druge kulture. """
614,POUDAREK: Kako nastane lepota,Oznaka: Kako ustvariti lepoto,Poudarek: Kako nastane lepota
615,"Odkar je cena dolarja padla, še bolj pa odkar smo bile na premieri filma Seks v mestu, nekatere na uredništvu vedno bolj sanjamo in tuhtamo, kako bi nam uspelo znova obiskati to velemesto.","Ker je cena dolarja padla, še bolj pa odkar smo bili na premieri serije Seks v mestu, nekateri v uredništvu vse bolj sanjamo in se sprašujemo, kako bi lahko še enkrat obiskali to metropolo.","Odkar je cena dolarja padla, še bolj pa odkar smo bili na premieri filma Seks v"
616,"Dokler pod streho ne spravimo jesensko-zimske številke posebne izdaje Stil in lepota, to zagotovo ne bo možno, oktobra pa se odstotki možnosti drastično dvignejo, tako da …","Do jesensko-zimskega vprašanja sloga in lepote, ki je postavljen pod streho, to zagotovo ne bo mogoče, in v oktobru odstotki možnosti drastično dvignila, tako da...","Dokler ne spravimo jesensko-zimske številke posebne izdaje Stil in lepota, to zagotovo"
617,"Če tebi uspe New York obiskati že prej, ti neskončno zavidamo.","Če vam uspe New York obiskati prej, vam neskončno zavidamo.","Če ti uspe New York obiskati že prej, ti neskončno zavidamo."
618,Ne pozabi nam poslati razglednice.,"ne pozabite, da pošljete razglednico.",Ne pozabi nam poslati razglednice.
619,"Najbolj se zabavam, ko …","Najbolj zabavno pa je, ko...","Najbolj se zabavam, ko..."
620,"(sledi prikrit nasmešek, nato prešeren smeh).",(za tem pa še kanček smeha).,"(sledi prikrit nasmeh, nato prešeren smeh)."
621,Kakšno iščejo: V tem obdobju si moški želijo dušo dvojčico in nič manj.,: Kaj iščejo V tem obdobju si moški želijo sorodno dušo in nič manj.,V tem obdobju si moški želijo dušo dvojčico in nič manj.
622,"Želijo si, da bi bila bodoča žena njegova prijateljica, družica, duša dvojčica, nekdo, ki prispeva tudi finančno, nekdo, ki bo tam, ko jo bo potreboval, hkrati pa mora biti dovolj sproščena in samozavestna, da mu dovoli priti v svoj prostor in ga ne duši.","Želijo, da je bodoča žena njegova prijateljica, družica, sorodna duša, nekdo, ki prav tako finančno prispeva, in nekdo, ki bo tam, ko jo potrebuje, hkrati pa je dovolj sproščen in samozavesten, da mu dovoli v svoj prostor, namesto da bi ga zadušil.","Želijo si, da bi bila bodoča žena njegova prijateljica, družica, duša dvojčic"
623,"Želijo si tudi, da to traja do njihove smrti.","Prav tako želijo, da se to nadaljuje do njihove smrti.","želijo si tudi, da to traja do njihove smrti."
624,Za njih je zelo pomembno tudi – kar fantom pri dvajsetih ne pomeni veliko – da se v spolnosti popolnoma ujameta.,"Prav tako je zelo pomembno, da jih - kar ne pomeni veliko, da fantje v svojih dvajsetih - da so popolnoma spolno.","Za njih je zelo pomembno, kar jim pri dvajsetih ne pomeni veliko - da se popolnoma uj"
625,"Kakšen je v postelji: Za seboj ima verjetno že nekaj daljših zvez, kar se pozna pri njegovem seksualnem znanju.","Kakšen je v postelji: Verjetno ima za seboj nekaj dolgih zvez, kar je razvidno iz njegovega spolnega znanja.","Kakšen je v postelji: Ima verjetno nekaj daljših zvez, kar se pozna pri njegovem seksualnem znanju"
626,"Leta učenja so mimo in zdaj točno ve, kako si te mora vzeti.","Leta preučevanja so minila in točno ve, kako te voditi.","Leta učenja so mimo in zdaj točno ve, kako si ga vzeti."
627,"Tudi vse njegove skrite seksualne želje, ki jih je do zdaj skrival, v tem obdobju prihajajo na plan.","V tem obdobju pridejo na dan tudi vse njegove skrite spolne želje, ki jih je doslej skrival.","Vse njegove skrite seksualne želje, ki jih je skrival do zdaj, prihajajo na plan."
628,"Starejši kot je moški, raje eksperimentira.","Starejši kot je moški, več eksperimentira.","Starejši kot je moški, raje eksperimentira."
629,"Pri dvajsetih si moški težko predstavlja, da bi med seksom igral različne vloge, ker ne potrebuje veliko, da se vzburi.","Pri dvajsetih letih si moški težko predstavlja, da bi med seksom igral različne vloge, saj za vzburjenje ne potrebuje veliko.","Pri dvajsetih si moški težko predstavlja, da bi med seksom igral različne vloge, ker ne potrebuje"
630,Pri poznih tridesetih pa moški že čutijo rahlo padanje moči in to radi nadomestijo z domišljijo.,V poznih tridesetih letih pa moški čutijo rahel padec moči in jo želijo nadomestiti.,Pri poznih tridesetih pa moški že čutijo rahlo padanje moči in radi nadomestijo domišljijo.
631,"Med Cosmo bejbami so še vedno najpriljubljenejše masaže, savne in kopeli v dvoje.","Med Cosmo bejbami so še vedno najbolj priljubljene masaže, savne in kopeli za dva.","Med Cosmo bejbami so še vedno najbolj priljubljene masaže, savne in kopeli"
632,"V termah Olimia bodo oblogo iz svežega sadja pripravili pred tvojimi očmi, tako da si lahko prepričana, da je 100-odstotno naravna.","V Termah Olimia vam bodo pred očmi pripravili svežo sadno oblogo, tako da ste lahko prepričani, da je 100% naravna.","V Termah Olimia bodo oblogo iz svežega sadja pripravili pred tvojimi očmi, tako"
